Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",96.774000,-32.734250,180.000000,top
"C2","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",91.821000,-32.448500,0.000000,top
"C3","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",99.599750,-32.734250,180.000000,top
"C4","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",104.267000,-33.813750,-90.000000,top
"C5","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",106.013250,-34.544000,0.000000,top
"C6","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",108.458000,-35.210750,0.000000,top
"C7","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",109.124750,-36.131500,0.000000,top
"C8","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",109.601000,-37.052250,0.000000,top
"C9","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",109.601000,-37.973000,0.000000,top
"C10","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",110.077250,-52.895500,-90.000000,top
"C11","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",110.077250,-50.514250,90.000000,top
"C12","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",108.521500,-53.721000,180.000000,top
"C13","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",108.521500,-52.800250,180.000000,top
"C14","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",108.521500,-50.514250,180.000000,top
"C15","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",108.521500,-48.228250,180.000000,top
"C16","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",110.077250,-48.196500,-90.000000,top
"C17","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",108.997750,-45.339000,90.000000,top
"C18","10u","C_0805_2012Metric",85.375750,-48.387000,0.000000,top
"C19","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",93.313250,-37.179250,0.000000,top
"C20","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",96.774000,-37.179250,0.000000,top
"C21","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",98.964750,-37.179250,180.000000,top
"C22","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",82.518250,-35.433000,-90.000000,top
"C23","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",107.759500,-33.655000,-90.000000,top
"C24","22p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",88.582500,-41.338500,180.000000,top
"C25","22p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",90.805000,-41.338500,0.000000,top
"C26","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",90.011250,-56.102250,90.000000,top
"C27","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",91.503500,-56.102250,-90.000000,top
"C28","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",93.884750,-53.467000,0.000000,top
"C29","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",98.806000,-84.709000,0.000000,top
"C30","10u","C_0805_2012Metric",101.060250,-55.022750,90.000000,top
"C31","10u","C_0805_2012Metric",101.060250,-60.102750,-90.000000,top
"C32","10u","C_0805_2012Metric",107.664250,-59.499500,-90.000000,top
"C33","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",99.599750,-53.752750,-90.000000,top
"C34","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",99.599750,-60.388500,90.000000,top
"C35","10u","C_0805_2012Metric",87.598250,-51.720750,0.000000,top
"C36","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",84.804250,-52.705000,180.000000,top
"C37","10u","C_0805_2012Metric",82.708750,-55.118000,90.000000,top
"C38","10u","C_0805_2012Metric",82.232500,-60.928250,180.000000,top
"C39","10u","C_0805_2012Metric",92.551250,-83.820000,0.000000,top
"C40","10u","C_0805_2012Metric",95.980250,-83.820000,0.000000,top
