Designator,Mid X,Mid Y,Rotation,Layer
C1,98.2345,-32.28975,180.0,top
C10,110.07725,-38.5445,270.0,top
C11,110.07725,-45.5295,270.0,top
C12,110.07725,-54.61,270.0,top
C13,110.07725,-52.22875,90.0,top
C14,106.90225,-55.4355,180.0,top
C15,108.5215,-54.51475,180.0,top
C16,108.5215,-52.22875,180.0,top
C17,108.5215,-49.94275,180.0,top
C18,110.07725,-49.911,270.0,top
C19,110.07725,-47.72025,90.0,top
C2,92.23375,-32.28975,0.0,top
C20,84.5185,-45.847,0.0,top
C21,102.58425,-46.57725,0.0,top
C22,102.58425,-44.60875,0.0,top
C23,98.26625,-39.46525,270.0,top
C24,96.266,-37.87775,0.0,top
C25,92.075,-37.6555,0.0,top
C26,81.661,-36.48075,270.0,top
C27,107.60075,-32.60725,0.0,top
C28,87.09025,-39.6875,0.0,top
C29,90.26525,-41.275,90.0,top
C3,102.87,-37.87775,270.0,top
C30,99.568,-55.499,90.0,top
C31,98.64725,-55.499,90.0,top
C32,81.56575,-63.754,90.0,top
C33,83.02625,-60.10275,90.0,top
C34,83.02625,-56.67375,270.0,top
C35,97.917,-88.4555,0.0,top
C36,101.346,-88.4555,0.0,top
C37,86.4235,-55.499,180.0,top
C38,88.80475,-59.10225,90.0,top
C39,90.297,-59.08675,270.0,top
C4,102.58425,-35.687,0.0,top
C40,92.67825,-56.4515,0.0,top
C41,103.98125,-91.15425,270.0,top
C42,89.63025,-57.531,180.0,top
C43,89.63025,-56.29275,180.0,top
C5,106.9975,-34.51225,90.0,top
C6,107.91825,-34.51225,90.0,top
C7,108.87075,-35.433,90.0,top
C8,109.7915,-35.433,90.0,top
C9,109.6645,-36.98875,0.0,top
D1,100.33,-40.005,270.0,top
D2,96.86925,-49.62525,90.0,top
F1,98.9965,-36.29025,0.0,top
J1,95.25,-27.178,180.0,top
J3,87.63,-74.882,0.0,top
J4,102.87,-74.882,0.0,top
LED1,101.6,-26.9875,270.0,top
LED2,101.6,-30.48,270.0,top
LED3,88.9,-26.9875,270.0,top
LED4,88.9,-30.48,270.0,top
LED5,87.5665,-62.32525,90.0,top
Q1,87.4395,-45.43425,270.0,top
Q2,88.9,-47.8155,270.0,top
Q3,101.2825,-57.15,180.0,top
Q4,101.2825,-60.452,180.0,top
Q5,101.2825,-63.754,180.0,top
Q6,83.7565,-63.1825,270.0,top
R1,103.79075,-31.01975,270.0,top
R10,93.345,-48.133,90.0,top
R13,100.203,-45.974,270.0,top
R14,90.2335,-44.10075,270.0,top
R15,87.63,-31.01975,90.0,top
R16,87.63,-27.52725,90.0,top
R17,89.154,-45.18025,270.0,top
R18,81.661,-34.29,90.0,top
R19,109.18825,-33.24225,90.0,top
R2,102.83825,-31.01975,270.0,top
R20,89.56675,-37.7825,180.0,top
R21,89.56675,-38.735,0.0,top
R22,89.56675,-39.6875,0.0,top
R23,99.5045,-58.801,270.0,top
R24,99.5045,-62.103,90.0,top
R25,103.505,-85.09,0.0,top
R26,102.997,-91.186,90.0,top
R27,85.43925,-62.865,90.0,top
R28,83.66125,-64.99225,180.0,top
R29,86.39175,-62.865,90.0,top
R3,103.8225,-27.52725,270.0,top
R30,85.1535,-60.16625,0.0,top
R4,102.87,-27.52725,90.0,top
R5,102.5525,-24.765,0.0,top
R6,87.91575,-24.765,180.0,top
R8,91.44,-48.133,90.0,top
SW1,83.947,-29.464,90.0,top
SW2,106.52125,-29.464,90.0,top
SW3,83.947,-34.89325,270.0,top
SW4,106.045,-60.99175,90.0,top
SW5,106.299,-89.56675,90.0,top
TVS1,94.6785,-34.3535,270.0,top
TVS10,82.26425,-78.70825,270.0,top
TVS11,97.50425,-76.16825,270.0,top
TVS12,97.50425,-73.62825,270.0,top
TVS13,82.26425,-71.08825,270.0,top
TVS14,92.99575,-81.24825,270.0,top
TVS15,108.23575,-83.78825,270.0,top
TVS16,97.50425,-83.72475,270.0,top
TVS17,108.23575,-81.24825,270.0,top
TVS18,97.50425,-81.24825,270.0,top
TVS19,108.23575,-78.70825,270.0,top
TVS2,93.0275,-34.3535,270.0,top
TVS20,97.50425,-78.70825,270.0,top
TVS21,108.23575,-76.16825,270.0,top
TVS22,82.26425,-68.54825,270.0,top
TVS23,99.02825,-64.92875,0.0,top
TVS24,92.3925,-50.165,90.0,top
TVS25,90.39225,-50.165,90.0,top
TVS26,88.392,-50.165,90.0,top
TVS27,94.39275,-50.165,90.0,top
TVS28,98.64725,-50.38725,180.0,top
TVS29,98.64725,-52.48275,180.0,top
TVS3,98.77425,-34.2265,0.0,top
TVS30,104.775,-37.75075,0.0,top
TVS31,104.42575,-39.78275,270.0,top
TVS32,104.42575,-42.926,270.0,top
TVS33,104.42575,-41.3385,270.0,top
TVS34,108.23575,-68.54825,270.0,top
TVS35,81.2165,-68.54825,270.0,top
TVS4,86.45525,-37.05225,0.0,top
TVS5,105.25125,-25.93975,90.0,top
TVS6,86.4235,-32.16275,180.0,top
TVS7,108.68025,-64.86525,0.0,top
TVS8,108.68025,-57.11825,0.0,top
TVS9,103.8225,-87.63,270.0,top
U1,104.74325,-33.8455,90.0,top
U2,105.31475,-51.08575,180.0,top
U3,94.2975,-42.2275,90.0,top
U4,94.2975,-60.785,270.0,top
XTAL1,86.45525,-42.13225,0.0,top
XTAL2,85.9155,-57.83225,180.0,top
