Designator,Mid X,Mid Y,Rotation,Layer
C1,97.805875,-26.2895,180.0,top
C10,108.029375,-35.40125,0.0,top
C11,105.806875,-34.782125,180.0,top
C12,110.07725,-54.61,270.0,top
C13,110.07725,-52.22875,90.0,top
C14,105.156,-36.718875,180.0,top
C15,108.5215,-54.51475,180.0,top
C16,108.5215,-52.22875,180.0,top
C17,108.5215,-49.94275,180.0,top
C18,110.07725,-49.911,270.0,top
C19,110.07725,-47.72025,90.0,top
C2,91.900375,-26.273125,0.0,top
C20,87.5665,-41.703625,0.0,top
C21,102.58425,-46.57725,0.0,top
C22,102.58425,-44.60875,0.0,top
C23,90.96375,-27.670125,180.0,top
C24,91.646375,-29.257625,270.0,top
C25,95.646875,-29.257625,90.0,top
C26,83.2485,-31.3055,270.0,top
C27,107.60075,-30.13075,270.0,top
C28,86.915625,-33.0835,90.0,top
C29,87.868125,-33.0835,90.0,top
C3,102.473125,-35.734625,270.0,top
C30,99.568,-55.499,90.0,top
C31,98.64725,-55.499,90.0,top
C32,81.56575,-63.754,90.0,top
C33,83.02625,-60.10275,90.0,top
C34,83.02625,-56.67375,270.0,top
C35,97.917,-88.4555,0.0,top
C36,94.1705,-84.86775,180.0,top
C37,86.4235,-55.499,180.0,top
C38,88.80475,-59.10225,90.0,top
C39,90.297,-59.08675,270.0,top
C4,102.282625,-32.60725,270.0,top
C40,92.67825,-56.4515,0.0,top
C41,100.99675,-89.4715,270.0,top
C42,89.63025,-57.531,180.0,top
C43,89.63025,-56.29275,180.0,top
C5,106.807,-32.86125,90.0,top
C6,107.72775,-32.86125,90.0,top
C7,108.6485,-32.86125,90.0,top
C8,110.918625,-32.86125,90.0,top
C9,108.029375,-34.4805,0.0,top
D1,99.901375,-36.179125,270.0,top
D2,96.86925,-49.62525,90.0,top
F1,97.79,-28.321,270.0,top
J1,95.25,-22.608,180.0,top
J3,87.63,-74.882,90.0,top
J4,102.87,-74.882,90.0,top
LED1,102.25,-25.495,270.0,top
LED2,102.25,-29.495,270.0,top
LED3,88.25,-25.495,270.0,top
LED4,88.25,-29.495,270.0,top
LED5,87.75,-62.495,90.0,top
Q1,82.296,-41.005125,90.0,top
Q2,82.296,-43.71975,90.0,top
Q3,101.2825,-57.15,0.0,top
Q4,101.2825,-60.452,0.0,top
Q5,101.2825,-63.754,0.0,top
Q6,83.7565,-63.1825,90.0,top
R1,104.251125,-29.718,90.0,top
R12,96.821625,-40.3225,270.0,top
R13,84.93125,-40.73525,270.0,top
R14,86.248875,-29.21,90.0,top
R15,87.201375,-29.21,90.0,top
R16,86.248875,-25.257125,90.0,top
R17,87.201375,-25.257125,90.0,top
R18,83.97875,-40.73525,270.0,top
R19,80.61325,-31.369,90.0,top
R2,103.298625,-29.718,270.0,top
R20,104.251125,-27.178,90.0,top
R21,89.69375,-31.670625,180.0,top
R22,89.69375,-32.623125,0.0,top
R23,89.69375,-33.575625,0.0,top
R24,99.5045,-58.801,270.0,top
R25,99.5045,-62.103,90.0,top
R26,103.505,-85.09,0.0,top
R27,103.505,-86.106,0.0,top
R28,85.43925,-62.865,90.0,top
R29,86.39175,-62.865,90.0,top
R3,103.298625,-25.257125,90.0,top
R30,85.1535,-60.16625,0.0,top
R4,100.99675,-23.1775,90.0,top
R5,89.50325,-23.1775,90.0,top
R6,97.774125,-40.3225,90.0,top
R7,91.7575,-40.3225,90.0,top
R9,93.6625,-40.3225,90.0,top
SW1,83.25,-34.995,0.0,top
SW2,107.25,-26.495,0.0,top
SW3,83.25,-26.495,0.0,top
SW4,106.68,-60.325,90.0,top
SW5,105.75,-89.495,0.0,top
TVS1,94.408625,-28.448,270.0,top
TVS10,82.26425,-78.70825,270.0,top
TVS11,97.50425,-76.16825,270.0,top
TVS12,97.50425,-73.62825,270.0,top
TVS13,82.26425,-71.08825,270.0,top
TVS14,92.99575,-81.24825,270.0,top
TVS15,108.23575,-83.78825,270.0,top
TVS16,97.50425,-83.72475,270.0,top
TVS17,108.23575,-81.24825,270.0,top
TVS18,97.50425,-81.24825,270.0,top
TVS19,108.23575,-78.70825,270.0,top
TVS2,92.86875,-28.448,270.0,top
TVS20,97.50425,-78.70825,270.0,top
TVS21,108.23575,-76.16825,270.0,top
TVS22,82.26425,-68.54825,270.0,top
TVS23,99.02825,-64.92875,0.0,top
TVS24,92.3925,-50.165,90.0,top
TVS25,90.39225,-50.165,90.0,top
TVS26,88.392,-50.165,90.0,top
TVS27,94.45625,-50.165,90.0,top
TVS28,98.64725,-50.38725,180.0,top
TVS29,98.64725,-52.48275,180.0,top
TVS3,99.869625,-29.81325,270.0,top
TVS30,104.775,-37.75075,0.0,top
TVS31,104.42575,-39.78275,270.0,top
TVS32,104.42575,-42.926,270.0,top
TVS33,104.42575,-41.3385,270.0,top
TVS34,108.23575,-68.54825,270.0,top
TVS35,81.2165,-68.54825,270.0,top
TVS4,83.2485,-29.68625,180.0,top
TVS5,107.21975,-23.27275,180.0,top
TVS6,85.9155,-31.75,270.0,top
TVS7,109.44225,-56.48325,0.0,top
TVS8,109.44225,-64.16675,0.0,top
TVS9,102.108,-89.4715,270.0,top
U1,104.568625,-32.60725,90.0,top
U2,105.31475,-51.08575,0.0,top
U3,94.2975,-34.19475,0.0,top
U4,94.2975,-60.785,180.0,top
XTAL1,87.931625,-37.322125,90.0,top
XTAL2,85.9155,-57.83225,180.0,top
